INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,DAY_OF_WEEK,HOUR,Lat,Long
252097140,,M/V ACCIDENT - OTHER,C6,Saturday ,22,42.332934189061305,-71.05032549607128
252097133,,LARCENY SHOPLIFTING,E5,Saturday ,21,42.28397189738181,-71.15689089135782
252097158,,VERBAL DISPUTE,B3,Saturday ,23,42.29664797761004,-71.08728895451392
252097101,,INVESTIGATE PROPERTY,D14,Saturday ,18,42.35752408143303,-71.1307738392074
252097088,,ASSAULT - SIMPLE,B2,Saturday ,0,42.31444840358419,-71.08993418130714
252097108,,M/V ACCIDENT - PROPERTY DAMAGE,E5,Saturday ,19,42.28657528868626,-71.1215902084131
232046695,,LARCENY SHOPLIFTING,D4,Saturday ,18,42.3473097976345,-71.0791516658207
232046660,,THREATS TO DO BODILY HARM,B2,Tuesday  ,0,42.32866283555609,-71.08563401183545
232052920,,LARCENY PICK-POCKET,A1,Sunday   ,0,42.36183856656471,-71.05976489094158
232053003,,SICK ASSIST,D4,Thursday ,1,42.33201096811407,-71.07564695026329
242018105,,BURGLARY - COMMERICAL,C11,Tuesday  ,0,42.3046825222029,-71.0562786467743
242018304,,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,Tuesday  ,19,42.31326020451915,-71.09966273099576
242018338,,SICK ASSIST,D4,Tuesday  ,23,42.34804799406572,-71.09494599336908
242018330,,ASSAULT - SIMPLE,A7,Tuesday  ,22,42.3754698301692,-71.03730221130624
242018060,,SICK ASSIST,B2,Tuesday  ,0,42.31348708323127,-71.08460242340236
242018297,,ASSAULT - SIMPLE,E13,Tuesday  ,20,42.311419973617454,-71.1025799818465
242018267,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Tuesday  ,18,42.3104339974624,-71.06134009762133
242018561,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,Wednesday,18,42.33721215410986,-71.07597603259629
242018439,,M/V ACCIDENT - PROPERTY DAMAGE,B2,Tuesday  ,21,42.32866283555609,-71.08563401183545
242018550,,ASSAULT - AGGRAVATED,B2,Wednesday,18,42.30576685773399,-71.08097517447082
242018564,,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,Wednesday,19,42.32866283555609,-71.08563401183545
242018460,,TOWED MOTOR VEHICLE,C11,Wednesday,0,42.30776341895347,-71.06683061839769
242018568,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,Wednesday,19,42.33830257570752,-71.10235252580071
242018617,,INVESTIGATE PERSON,D4,Thursday ,1,42.33428840659414,-71.07239517543796
242018429,,PROPERTY - LOST/ MISSING,C11,Tuesday  ,0,42.29755532959654,-71.05970910242573
242018193,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,Monday   ,21,42.32866283555609,-71.08563401183545
242018504,,PROPERTY - LOST/ MISSING,B3,Sunday   ,0,42.28482576580487,-71.09137368938802
242018562,,ASSAULT - SIMPLE,B2,Wednesday,19,42.33153508595695,-71.09534648213821
242018607,,INVESTIGATE PERSON,E5,Wednesday,22,42.27581799160967,-71.13991259250876
232052689,,ASSAULT - AGGRAVATED,B3,Wednesday,2,42.26695697220659,-71.09523694438641
232052971,,INVESTIGATE PROPERTY,E18,Wednesday,21,42.2620184921236,-71.10245482962297
232020287,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,Thursday ,22,42.33954198983015,-71.06940876967543
232052928,,INVESTIGATE PERSON,A1,Wednesday,19,42.35106637179274,-71.06549569082702
232052593,,INVESTIGATE PROPERTY,D4,Tuesday  ,18,42.34309082154773,-71.08540751848871
232020257,,AUTO THEFT,D4,Thursday ,20,42.33954198983015,-71.06940876967543
232020209,,PROPERTY - LOST/ MISSING,D4,Wednesday,2,42.33954198983015,-71.06940876967543
232052964,,LARCENY SHOPLIFTING,E5,Wednesday,21,42.28788932440643,-71.1265858526016
232052719,,INVESTIGATE PROPERTY,D4,Monday   ,0,42.34947585701249,-71.07640149637847
232032296,,SICK ASSIST - DRUG RELATED ILLNESS,D4,Thursday ,0,42.344701357944174,-71.0703760849388
